x;y;dX;dY;grounded;jumping;doubleJumping;wallJumpingLeft;wallJumpingRight;wallJumping;collision.left;collision.right;collision.top;collision.bottom 
1991;493.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1991;492.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1991;491.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1991;491.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1991;490.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1991;490.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1991;489.5003397670002;-8.478296900000004;14.320339767000013;false;false;false;false;false;false;false;false;false;true
1991;489.0493057903002;-8.430467210000003;13.869305790300011;false;false;false;false;false;false;false;false;false;true
1991;488.6433752112702;-8.387420489000004;13.46337521127001;false;false;false;false;false;false;false;false;false;true
1991;488.2780376901432;-8.348678440100004;13.09803769014301;false;false;false;false;false;false;false;false;false;true
1991;487.9492339211289;-8.313810596090004;12.76923392112871;false;false;false;false;false;false;false;false;false;true
1991;487.65331052901604;-8.282429536481004;12.473310529015839;false;false;false;false;false;false;false;false;false;true
1991;487.38697947611445;-8.254186582832904;12.206979476114254;false;false;false;false;false;false;false;false;false;true
1991;487.147281528503;-8.228767924549615;11.967281528502829;false;false;false;false;false;false;false;false;false;true
1991;486.9315533756527;-8.205891132094655;11.751553375652547;false;false;false;false;false;false;false;false;false;true
1991;486.73739803808746;-8.18530201888519;11.557398038087292;false;false;false;false;false;false;false;false;false;true
1991;486.56265823427873;-8.166771816996672;11.382658234278564;false;false;false;false;false;false;false;false;false;true
1991;486.4053924108509;-8.150094635297005;11.225392410850707;false;false;false;false;false;false;false;false;false;true
1991;486.2638531697658;-8.135085171767305;11.083853169765638;false;false;false;false;false;false;false;false;false;true
1991;486.1364678527892;-8.121576654590575;10.956467852789073;false;false;false;false;false;false;false;false;false;true
1991;486.02182106751036;-8.109418989131518;10.841821067510166;false;false;false;false;false;false;false;false;false;true
1993;485.9186389607593;-6.56862938119653;10.738638960759149;false;false;false;false;false;false;false;false;false;true
1994;485.8257750646834;-5.111766443076878;10.645775064683233;false;false;false;false;false;false;false;false;false;true
1995;485.7421975582151;-3.80058979876919;10.56219755821491;false;false;false;false;false;false;false;false;false;true
1996;485.6669778023936;-2.620530818892271;10.486977802393419;false;false;false;false;false;false;false;false;false;true
1997;485.59928002215423;-1.558477737003044;10.419280022154076;false;false;false;false;false;false;false;false;false;true
1998;485.5383520199388;-0.6026299633027397;10.35835201993867;false;false;false;false;false;false;false;false;false;true
1999;485.483516817945;0.2576330330275344;10.303516817944802;false;false;false;false;false;false;false;false;false;true
1327;594.4200000000002;-5.3144100000000005;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1328;593.4770000000002;-4.3046721;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1329;592.6283000000002;-3.4867844010000004;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1330;591.8644700000002;-2.82429536481;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1331;591.1770230000002;-2.2876792454961;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1331;590.5583207000002;-1.853020188851841;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1331;590.0014886300002;-1.5009463529699911;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1473;594.4200000000002;-3.1322818300333433;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1473;593.4770000000002;-3.619053647030009;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1473;592.6283000000002;-4.057148282327009;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1473;591.8644700000002;-4.451433454094308;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1473;591.1770230000002;-4.806290108684877;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1473;590.5583207000002;-5.125661097816389;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1473;590.0014886300002;-5.41309498803475;14.821488630000013;false;false;false;false;false;false;false;false;false;true
-9;444.4200000000002;2.2999999999999994;19.24000000000001;false;false;false;false;false;false;false;false;false;true
-8;443.4770000000002;2.869999999999999;18.29700000000001;false;false;false;false;false;false;false;false;false;true
-7;442.6283000000002;3.382999999999999;17.448300000000014;false;false;false;false;false;false;false;false;false;true
-7;441.8644700000002;3.8446999999999996;16.684470000000015;false;false;false;false;false;false;false;false;false;true
-7;441.1770230000002;4.26023;15.997023000000015;false;false;false;false;false;false;false;false;false;true
-7;440.5583207000002;4.634207;15.378320700000014;false;false;false;false;false;false;false;false;false;true
-7;440.0014886300002;4.9707863;14.821488630000013;false;false;false;false;false;false;false;false;false;true
1724;594.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
1724;593.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
1724;592.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
1724;591.8644700000002;8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
1724;591.1770230000002;8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
1724;590.5583207000002;8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
1724;590.0014886300002;8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
4446;294.4200000000002;2.2876792454961;19.24000000000001;false;false;false;false;false;false;false;false;false;true
4446;293.4770000000002;1.853020188851841;18.29700000000001;false;false;false;false;false;false;false;false;false;true
4445;292.6283000000002;0.8677181699666567;17.448300000000014;false;false;false;false;false;false;false;false;false;true
4444;291.8644700000002;-0.019053647030009002;16.684470000000015;false;false;false;false;false;false;false;false;false;true
4443;291.1770230000002;-0.8171482823270082;15.997023000000015;false;false;false;false;false;false;false;false;false;true
4442;290.5583207000002;-1.5354334540943073;15.378320700000014;false;false;false;false;false;false;false;false;false;true
4441;290.0014886300002;-2.1818901086848768;14.821488630000013;false;false;false;false;false;false;false;false;false;true
4038;294.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
4038;293.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
4038;292.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
4038;291.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
4038;291.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
4038;290.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
4038;290.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
3282;394.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
3282;393.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
3282;392.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
3282;391.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
3282;391.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
3282;390.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
3282;390.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
2445;494.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
2445;493.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
2445;492.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
2445;491.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
2445;491.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
2445;490.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
2445;490.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
2085;494.4200000000002;-9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
2085;493.4770000000002;-8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
2085;492.6283000000002;-8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
2085;491.8644700000002;-8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
2085;491.1770230000002;-8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
2085;490.5583207000002;-8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
2085;490.0014886300002;-8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
666;594.4200000000002;-7.29;19.24000000000001;false;false;false;false;false;false;false;false;false;true
667;593.4770000000002;-5.9049000000000005;18.29700000000001;false;false;false;false;false;false;false;false;false;true
668;592.6283000000002;-4.7829690000000005;17.448300000000014;false;false;false;false;false;false;false;false;false;true
669;591.8644700000002;-3.8742048900000006;16.684470000000015;false;false;false;false;false;false;false;false;false;true
125;444.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
